linker,semfield1,semfield2,pragmatics,atoms
и без того,присоединение(дополнение),,,
и вот пожалуйста,импликация(следствие),,акцентуализация,
и всё,импликация(следствие),,,
и несмотря на,уступка,противление,,
и так,присоединение(дополнение),,,
и того лучше,присоединение(выделение),,оценка,
и того хуже,присоединение(выделение),,оценка,
известно,,,эпистемика,
из-за чего,импликация(следствие),,,
или правильнее,парафраз,,оценка,
или скорее,парафраз,,эпистемика,
или того лучше,дизъюнкция,присоединение(выделение),оценка,
или того хуже,дизъюнкция,присоединение(выделение),оценка,
иной...как,присоединение(уточнение),,,
интересно,,,"оценка,акцентуализация",
к несчастью,,,оценка,
к огорчению,,,оценка,
к прискорбию,,,оценка,
к радости,,,оценка,
к сожалению,,,оценка,
к удивлению,,,оценка,
каждый раз когда,время,,,
казалось бы,,,эпистемика,
как бы то ни было,импликация(следствие);присоединение(уточнение),противление,,
как видите,присоединение(обобщение),,,
как выяснилось,присоединение(дополнение),,,
как знать,,,эпистемика,
как известно,,,эпистемика,
как правило,,,эпистемика,
как-никак,импликация(причина),,,
ко всему прочему,присоединение(дополнение),,,
коли даже,импликация(условие),,,
коли же,импликация(условие),,,
коли и,импликация(условие),,,
кстати говоря,присоединение(дополнение),,,
логично предположить,,,эпистемика,
мало того,присоединение(дополнение),,,
может оказаться,,,эпистемика,
может показаться,,,эпистемика,
может статься,,,эпистемика,
мягко выражаясь,парафраз,,,
мягко говоря,парафраз,,,
мягко сказать,парафраз,,,
на первый взгляд,,,эпистемика,
на самом деле,,,эпистемика,
на худой конец,присоединение(уточнение),,,
надо думать,,,эпистемика,
наряду с,присоединение(дополнение),сравнение,,
насчет того,присоединение(уточнение),,акцентуализация,
не говоря о том,присоединение(уточнение),,,
не говоря уже о том,присоединение(уточнение),,,
не прямо...а,замещение,противление,,
не прямо...но,замещение,противление,,
не считая,присоединение(уточнение),,,
не считая того,присоединение(уточнение),,,
не то чтоб,замещение,,,
нельзя сказать что,,,"оценка,эпистемика",
необходимо отметить,присоединение(выделение),,акцентуализация,
необходимо учесть,присоединение(выделение),,акцентуализация,
необходимо учитывать,присоединение(выделение),,акцентуализация,
несмотря на,уступка,,,
несмотря ни на что,уступка,,,
нечего делать,уступка,,,
никуда не денешься,уступка,,,
никуда не деться,уступка,,,
но даже,присоединение(уточнение),,акцентуализация,
но еще,присоединение(дополнение),,,
но к тому же,присоединение(дополнение),противление,,
но притом,присоединение(дополнение),противление,,
ну хоть,противление,,,
образно говоря,парафраз,,,
оказывается,,,эпистемика,
откровенно говоря,парафраз,,,
относительно того,присоединение(дополнение),,,
отчасти...отчасти,присоединение(конъюнкция),,,
плюс,присоединение(дополнение),,,
плюс к тому,присоединение(дополнение),,,
плюс к этому,присоединение(дополнение),,,
плюс ко всему,присоединение(дополнение),,,
плюсом ко,присоединение(дополнение),,,
по идее,,,эпистемика,
по мнению,,,источник,
по правде,,,источник,
по правде говоря,,,источник,
по правде сказать,,,источник,
по преданию,,,источник,
по сведениям,,,источник,
по словам,,,источник,
по совести,,,источник,
по совести говоря,,,источник,
по сообщению,,,источник,
по справедливости,,,оценка,
по сути,присоединение(уточнение),,эпистемика,
по сути говоря,,,эпистемика,
по сути дела,,,эпистемика,
по существу,присоединение(уточнение),,эпистемика,
по счастию,,,оценка,
по счастью,,,оценка,
пожалуй,,,эпистемика,
помимо всего,присоединение(уточнение),,,
помимо всего прочего,присоединение(уточнение),,,
помимо этого,присоединение(уточнение),,,
попросту говоря,парафраз,,,
похоже,,,эпистемика,
предположительно,,,эпистемика,
проще говоря,парафраз,,,
пускай...лишь,импликация(условие),,акцентуализация,
пускай...только,импликация(условие),,акцентуализация,
с одной стороны,присоединение(дополнение),,,
с той лишь разницей,противление,,акцентуализация,
с той лишь целью,импликация(цель),,акцентуализация,
с той только разницей,противление,,акцентуализация,
с той только целью,импликация(цель),,акцентуализация,
сообщают,,,источник,
соотвественно,импликация(следствие);сравнение,,,
сразу как,время,,,
столь...что,степень,"импликация(следствие),импликация(причина)",,
столько...что,степень,"импликация(следствие),импликация(причина)",,
строго говоря,парафраз,,,
так или иначе,присоединение(уточнение),,,
так нет,противление,,,
увы,,,оценка,
условно,,,эпистемика,
условно говоря,,,эпистемика,
фактически,,,эпистемика,
честно,,,"эпистемика,оценка",
честно говоря,,,"эпистемика,оценка",
честно сказать,,,"эпистемика,оценка",
что ни говори,присоединение(уточнение),,,
